TEAM_NAME|TEAM|DIVISION|LEAGUE|PREFIX_2
Angels|Los Angeles Angels|AL West|mlb|los-angeles-angels
Astros|Houston Astros|AL West|mlb|houston-astros
Athletics|Oakland Athletics|AL West|mlb|oakland-athletics
Blue Jays|Toronto Blue Jays|AL East|mlb|toronto-blue-jays
Braves|Atlanta Braves|NL East|mlb|atlanta-braves
Brewers|Milwaukee Brewers|NL Central|mlb|milwaukee-brewers
Cardinals|St. Louis Cardinals|NL Central|mlb|st.-louis-cardinals
Cubs|Chicago Cubs|NL Central|mlb|chicago-cubs
Diamondbacks|Arizona Diamondbacks|NL West|mlb|arizona-diamondbacks
Dodgers|Los Angeles Dodgers|NL West|mlb|los-angeles-dodgers
Giants|San Francisco Giants|NL West|mlb|san-francisco-giants
Indians|Cleveland Indians|AL Central|mlb|cleveland-indians
Mariners|Seattle Mariners|AL West|mlb|seattle-mariners
Marlins|Miami Marlins|NL East|mlb|miami-marlins
Mets|New York Mets|NL East|mlb|new-york-mets
Nationals|Washington Nationals|NL East|mlb|washington-nationals
Orioles|Baltimore Orioles|AL East|mlb|baltimore-orioles
Padres|San Diego Padres|NL West|mlb|san-diego-padres
Phillies|Philadelphia Phillies|NL East|mlb|philadelphia-phillies
Pirates|Pittsburgh Pirates|NL Central|mlb|pittsburgh-pirates
Rangers|Texas Rangers|AL West|mlb|texas-rangers
Rays|Tampa Bay Rays|AL East|mlb|tampa-bay-rays
Red Sox|Boston Red Sox|AL East|mlb|boston-red-sox
Reds|Cincinnati Reds|NL Central|mlb|cincinnati-reds
Rockies|Colorado Rockies|NL West|mlb|colorado-rockies
Royals|Kansas City Royals|AL Central|mlb|kansas-city-royals
Tigers|Detroit Tigers|AL Central|mlb|detroit-tigers
Twins|Minnesota Twins|AL Central|mlb|minnesota-twins
White Sox|Chicago White Sox|AL Central|mlb|chicago-white-sox
Yankees|New York Yankees|AL East|mlb|new-york-yankees
Celtics|Boston Celtics|Atlantic|nba|boston-celtics
Nets|Brooklyn Nets|Atlantic|nba|brooklyn-nets
Knicks|New York Knicks|Atlantic|nba|new-york-knicks
76ers|Philadelphia 76ers|Atlantic|nba|philadelphia-76ers
Raptors|Toronto Raptors|Atlantic|nba|toronto-raptors
Warriors|Golden State Warriors|Pacific|nba|golden-state-warriors
Clippers|LA Clippers|Pacific|nba|la-clippers
Lakers|Los Angeles Lakers|Pacific|nba|los-angeles-lakers
Suns|Phoenix Suns|Pacific|nba|phoenix-suns
Kings|Sacramento Kings|Pacific|nba|sacramento-kings
Bulls|Chicago Bulls|Central|nba|chicago-bulls
Cavaliers|Cleveland Cavaliers|Central|nba|cleveland-cavaliers
Pistons|Detroit Pistons|Central|nba|detroit-pistons
Pacers|Indiana Pacers|Central|nba|indiana-pacers
Bucks|Milwaukee Bucks|Central|nba|milwaukee-bucks
Mavericks|Dallas Mavericks|Southwest|nba|dallas-mavericks
Rockets|Houston Rockets|Southwest|nba|houston-rockets
Grizzlies|Memphis Grizzlies|Southwest|nba|memphis-grizzlies
Pelicans|New Orleans Pelicans|Southwest|nba|new-orleans-pelicans
Spurs|San Antonio Spurs|Southwest|nba|san-antonio-spurs
Hawks|Atlanta Hawks|Southeast|nba|atlanta-hawks
Hornets|Charlotte Hornets|Southeast|nba|charlotte-hornets
Heat|Miami Heat|Southeast|nba|miami-heat
Magic|Orlando Magic|Southeast|nba|orlando-magic
Wizards|Washington Wizards|Southeast|nba|washington-wizards
Nuggets|Denver Nuggets|Northwest|nba|denver-nuggets
Timberwolves|Minnesota Timberwolves|Northwest|nba|minnesota-timberwolves
Thunder|Oklahoma City Thunder|Northwest|nba|oklahoma-city-thunder
Blazers|Portland Trail Blazers|Northwest|nba|portland-trail-blazers
Jazz|Utah Jazz|Northwest|nba|utah-jazz
Blackhawks|Chicago Blackhawks|Central Division|nhl|chicago-blackhawks
Avalanche|Colorado Avalanche|Central Division|nhl|colorado-avalanche
Stars|Dallas Stars|Central Division|nhl|dallas-stars
Wild|Minnesota Wild|Central Division|nhl|minnesota-wild
Predators|Nashville Predators|Central Division|nhl|nashville-predators
Blues|St. Louis Blues|Central Division|nhl|st-louis-blues
Jets|Winnipeg Jets|Central Division|nhl|winnipeg-jets
Ducks|Anaheim Ducks|Pacific Division|nhl|anaheim-ducks
Coyotes|Arizona Coyotes|Pacific Division|nhl|arizona-coyotes
Flames|Calgary Flames|Pacific Division|nhl|calgary-flames
Oilers|Edmonton Oilers|Pacific Division|nhl|edmonton-oilers
Kings|Los Angeles Kings|Pacific Division|nhl|los-angeles-kings
Sharks|San Jose Sharks|Pacific Division|nhl|san-jose-sharks
Canucks|Vancouver Canucks|Pacific Division|nhl|vancouver-canucks
Golden Knights|Vegas Golden Knights|Pacific Division|nhl|vegas-golden-knights
Bruins|Boston Bruins|Atlantic Division|nhl|boston-bruins
Sabres|Buffalo Sabres|Atlantic Division|nhl|buffalo-sabres
Red Wings|Detroit Red Wings|Atlantic Division|nhl|detroit-red-wings
Panthers|Florida Panthers|Atlantic Division|nhl|florida-panthers
Canadiens|Montreal Canadiens|Atlantic Division|nhl|montreal-canadiens
Senators|Ottawa Senators|Atlantic Division|nhl|ottawa-senators
Lightning|Tampa Bay Lightning|Atlantic Division|nhl|tampa-bay-lightning
Maple Leafs|Toronto Maple Leafs|Atlantic Division|nhl|toronto-maple-leafs
Hurricanes|Carolina Hurricanes|Metropolitan Division|nhl|carolina-hurricanes
Blue Jackets|Columbus Blue Jackets|Metropolitan Division|nhl|columbus-blue-jackets
Devils|New Jersey Devils|Metropolitan Division|nhl|new-jersey-devils
Islanders|New York Islanders|Metropolitan Division|nhl|new-york-islanders
Rangers|New York Rangers|Metropolitan Division|nhl|new-york-rangers
Flyers|Philadelphia Flyers|Metropolitan Division|nhl|philadelphia-flyers
Penguins|Pittsburgh Penguins|Metropolitan Division|nhl|pittsburgh-penguins
Capitals|Washington Capitals|Metropolitan Division|nhl|washington-capitals
Cowboys|Dallas Cowboys|NFC East|nfl|dallas-cowboys
Giants|New York Giants|NFC East|nfl|new-york-giants
Eagles|Philadelphia Eagles|NFC East|nfl|philadelphia-eagles
Redskins|Washington Redskins|NFC East|nfl|washington-redskins
Bills|Buffalo Bills|AFC East|nfl|buffalo-bills
Dolphins|Miami Dolphins|AFC East|nfl|miami-dolphins
Patriots|New England Patriots|AFC East|nfl|new-england-patriots
Jets|New York Jets|AFC East|nfl|new-york-jets
Cardinals|Arizona Cardinals|NFC West|nfl|arizona-cardinals
Rams|Los Angeles Rams|NFC West|nfl|los-angeles-rams
49ers|San Francisco 49ers|NFC West|nfl|san-francisco-49ers
Seahawks|Seattle Seahawks|NFC West|nfl|seattle-seahawks
Broncos|Denver Broncos|AFC West|nfl|denver-broncos
Chiefs|Kansas City Chiefs|AFC West|nfl|kansas-city-chiefs
Chargers|Los Angeles Chargers|AFC West|nfl|los-angeles-chargers
