TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
Baltimore Orioles|AL East|mlb|bal|baltimore-orioles|Baltimore Orioles|http://www.espn.com/mlb/team/_/name/bal/baltimore-orioles
Boston Red Sox|AL East|mlb|bos|boston-red-sox|Boston Red Sox|http://www.espn.com/mlb/team/_/name/bos/boston-red-sox
New York Yankees|AL East|mlb|nyy|new-york-yankees|New York Yankees|http://www.espn.com/mlb/team/_/name/nyy/new-york-yankees
Tampa Bay Rays|AL East|mlb|tb|tampa-bay-rays|Tampa Bay Rays|http://www.espn.com/mlb/team/_/name/tb/tampa-bay-rays
Toronto Blue Jays|AL East|mlb|tor|toronto-blue-jays|Toronto Blue Jays|http://www.espn.com/mlb/team/_/name/tor/toronto-blue-jays
Atlanta Braves|NL East|mlb|atl|atlanta-braves|Atlanta Braves|http://www.espn.com/mlb/team/_/name/atl/atlanta-braves
Miami Marlins|NL East|mlb|mia|miami-marlins|Miami Marlins|http://www.espn.com/mlb/team/_/name/mia/miami-marlins
New York Mets|NL East|mlb|nym|new-york-mets|New York Mets|http://www.espn.com/mlb/team/_/name/nym/new-york-mets
Philadelphia Phillies|NL East|mlb|phi|philadelphia-phillies|Philadelphia Phillies|http://www.espn.com/mlb/team/_/name/phi/philadelphia-phillies
Washington Nationals|NL East|mlb|wsh|washington-nationals|Washington Nationals|http://www.espn.com/mlb/team/_/name/wsh/washington-nationals
Chicago White Sox|AL Central|mlb|chw|chicago-white-sox|Chicago White Sox|http://www.espn.com/mlb/team/_/name/chw/chicago-white-sox
Cleveland Indians|AL Central|mlb|cle|cleveland-indians|Cleveland Indians|http://www.espn.com/mlb/team/_/name/cle/cleveland-indians
Detroit Tigers|AL Central|mlb|det|detroit-tigers|Detroit Tigers|http://www.espn.com/mlb/team/_/name/det/detroit-tigers
Kansas City Royals|AL Central|mlb|kc|kansas-city-royals|Kansas City Royals|http://www.espn.com/mlb/team/_/name/kc/kansas-city-royals
Minnesota Twins|AL Central|mlb|min|minnesota-twins|Minnesota Twins|http://www.espn.com/mlb/team/_/name/min/minnesota-twins
Chicago Cubs|NL Central|mlb|chc|chicago-cubs|Chicago Cubs|http://www.espn.com/mlb/team/_/name/chc/chicago-cubs
Cincinnati Reds|NL Central|mlb|cin|cincinnati-reds|Cincinnati Reds|http://www.espn.com/mlb/team/_/name/cin/cincinnati-reds
Milwaukee Brewers|NL Central|mlb|mil|milwaukee-brewers|Milwaukee Brewers|http://www.espn.com/mlb/team/_/name/mil/milwaukee-brewers
Pittsburgh Pirates|NL Central|mlb|pit|pittsburgh-pirates|Pittsburgh Pirates|http://www.espn.com/mlb/team/_/name/pit/pittsburgh-pirates
St. Louis Cardinals|NL Central|mlb|stl|st.-louis-cardinals|St. Louis Cardinals|http://www.espn.com/mlb/team/_/name/stl/st.-louis-cardinals
Houston Astros|AL West|mlb|hou|houston-astros|Houston Astros|http://www.espn.com/mlb/team/_/name/hou/houston-astros
Los Angeles Angels|AL West|mlb|laa|los-angeles-angels|Los Angeles Angels|http://www.espn.com/mlb/team/_/name/laa/los-angeles-angels
Oakland Athletics|AL West|mlb|oak|oakland-athletics|Oakland Athletics|http://www.espn.com/mlb/team/_/name/oak/oakland-athletics
Seattle Mariners|AL West|mlb|sea|seattle-mariners|Seattle Mariners|http://www.espn.com/mlb/team/_/name/sea/seattle-mariners
Texas Rangers|AL West|mlb|tex|texas-rangers|Texas Rangers|http://www.espn.com/mlb/team/_/name/tex/texas-rangers
Arizona Diamondbacks|NL West|mlb|ari|arizona-diamondbacks|Arizona Diamondbacks|http://www.espn.com/mlb/team/_/name/ari/arizona-diamondbacks
Colorado Rockies|NL West|mlb|col|colorado-rockies|Colorado Rockies|http://www.espn.com/mlb/team/_/name/col/colorado-rockies
Los Angeles Dodgers|NL West|mlb|lad|los-angeles-dodgers|Los Angeles Dodgers|http://www.espn.com/mlb/team/_/name/lad/los-angeles-dodgers
San Diego Padres|NL West|mlb|sd|san-diego-padres|San Diego Padres|http://www.espn.com/mlb/team/_/name/sd/san-diego-padres
San Francisco Giants|NL West|mlb|sf|san-francisco-giants|San Francisco Giants|http://www.espn.com/mlb/team/_/name/sf/san-francisco-giants
Boston Celtics|Atlantic|nba|bos|boston-celtics|Boston Celtics|http://www.espn.com/nba/team/_/name/bos/boston-celtics
Brooklyn Nets|Atlantic|nba|bkn|brooklyn-nets|Brooklyn Nets|http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets
New York Knicks|Atlantic|nba|ny|new-york-knicks|New York Knicks|http://www.espn.com/nba/team/_/name/ny/new-york-knicks
Philadelphia 76ers|Atlantic|nba|phi|philadelphia-76ers|Philadelphia 76ers|http://www.espn.com/nba/team/_/name/phi/philadelphia-76ers
Toronto Raptors|Atlantic|nba|tor|toronto-raptors|Toronto Raptors|http://www.espn.com/nba/team/_/name/tor/toronto-raptors
Golden State Warriors|Pacific|nba|gs|golden-state-warriors|Golden State Warriors|http://www.espn.com/nba/team/_/name/gs/golden-state-warriors
LA Clippers|Pacific|nba|lac|la-clippers|LA Clippers|http://www.espn.com/nba/team/_/name/lac/la-clippers
Los Angeles Lakers|Pacific|nba|lal|los-angeles-lakers|Los Angeles Lakers|http://www.espn.com/nba/team/_/name/lal/los-angeles-lakers
Phoenix Suns|Pacific|nba|phx|phoenix-suns|Phoenix Suns|http://www.espn.com/nba/team/_/name/phx/phoenix-suns
Sacramento Kings|Pacific|nba|sac|sacramento-kings|Sacramento Kings|http://www.espn.com/nba/team/_/name/sac/sacramento-kings
Chicago Bulls|Central|nba|chi|chicago-bulls|Chicago Bulls|http://www.espn.com/nba/team/_/name/chi/chicago-bulls
Cleveland Cavaliers|Central|nba|cle|cleveland-cavaliers|Cleveland Cavaliers|http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers
Detroit Pistons|Central|nba|det|detroit-pistons|Detroit Pistons|http://www.espn.com/nba/team/_/name/det/detroit-pistons
Indiana Pacers|Central|nba|ind|indiana-pacers|Indiana Pacers|http://www.espn.com/nba/team/_/name/ind/indiana-pacers
Milwaukee Bucks|Central|nba|mil|milwaukee-bucks|Milwaukee Bucks|http://www.espn.com/nba/team/_/name/mil/milwaukee-bucks
Dallas Mavericks|Southwest|nba|dal|dallas-mavericks|Dallas Mavericks|http://www.espn.com/nba/team/_/name/dal/dallas-mavericks
Houston Rockets|Southwest|nba|hou|houston-rockets|Houston Rockets|http://www.espn.com/nba/team/_/name/hou/houston-rockets
Memphis Grizzlies|Southwest|nba|mem|memphis-grizzlies|Memphis Grizzlies|http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies
